"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"강서구 염창동주민센터 2층 강의실",염창동주민센터,강의실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,2,25000,1,12500,30,72,마이크+강의용테이블+의자+화이트보드,인터넷+App+방문,,서울특별시 강서구 양천로67 가길 63,,서울특별시 강서구청,염창동주민센터,02-2600-7306,http://yeyak.seoul.go.kr/,37.5537414,126.8709783,2023-08-29
"강서구 염창동주민센터 3층 다목적실",염창동주민센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,2,35000,1,17500,100,172,빔프로젝트+음향기기+마이크,인터넷+App+방문,,서울특별시 강서구 양천로67 가길 63,,서울특별시 강서구청,염창동주민센터,02-2600-7306,http://yeyak.seoul.go.kr/,37.5537414,126.8709783,2023-08-29
"강서구 염창동주민센터 3층 동아리방",염창동주민센터,강의실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,2,20000,1,10000,15,36,강의용테이블+의자+화이트보드+냉난방기,인터넷+App+방문,,서울특별시 강서구 양천로67 가길 63,,서울특별시 강서구청,염창동주민센터,02-2600-7306,http://yeyak.seoul.go.kr/,37.5537414,126.8709783,2023-08-29
"강서구 등촌1동주민센터 2층 동아리방",등촌1동주민센터,강의실,토+일+공휴일,10:00,21:00,00:00,00:00,Y,2,20000,1,10000,20,33,빔프로젝트+강의용테이블+의자+화이트보드,방문,,서울특별시 강서구 공항대로53가길 55,,서울특별시 강서구청,등촌1동주민센터,02-2600-7346,http://yeyak.seoul.go.kr/,37.5558286920,126.8589029,2023-08-29
"강서구 등촌1동주민센터 3층 다목적실",등촌1동주민센터,다목적실,토+일+공휴일,17:00,21:00,00:00,00:00,Y,2,35000,1,17500,50,179,빔프로젝트+마이크+강의용테이블+의자,방문,,서울특별시 강서구 공항대로53가길 55,,서울특별시 강서구청,등촌1동주민센터,02-2600-7346,http://yeyak.seoul.go.kr/,37.5558286920,126.8589029,2023-08-29
"강서구 등촌2동주민센터 3층 다목적실",등촌2동주민센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,2,30000,1,15000,50,113,빔프로젝트+마이크+강의용테이블+의자,유선+방문,,서울특별시 강서구 등촌로 143,,서울특별시 강서구청,등촌2동주민센터,02-2600-7386,http://yeyak.seoul.go.kr/,37.5426303,126.8625035243,2023-08-29
"강서구 등촌3동주민센터 3층 강의실",등촌3동주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,2,25000,1,12500,50,76,빔프로젝트+마이크+스피커+강의용 테이블+의자+화이트 보드,인터넷+App+방문,,서울특별시 강서구 화곡로63길 96,,서울특별시 강서구청,등촌3동주민센터,02-2600-7411,http://yeyak.seoul.go.kr/,37.5588432,126.8479014,2023-08-29
"강서구 등촌3동주민센터 3층 다목적실",등촌3동주민센터,다목적실,토+일,13:00,18:00,00:00,00:00,Y,2,30000,1,15000,50,136,빔프로젝트+마이크+스피커+강의용 테이블+의자,인터넷+App+방문,,서울특별시 강서구 화곡로63길 96,,서울특별시 강서구청,등촌3동주민센터,02-2600-7411,http://yeyak.seoul.go.kr/,37.5588432,126.8479014,2023-08-29
"강서구 화곡본동주민센터 2층 다목적실",화곡본동주민센터,다목적실,토+일+ 공휴일,18:00,21:00,00:00,00:00,Y,2,30000,1,15000,50,120,빔프로젝트+마이크+강의용테이블+의자+화이트보드,인터넷+App+방문,,서울특별시 강서구 초록마을로5길 29,,서울특별시 강서구청,화곡본동주민센터,02-2600-7454,http://yeyak.seoul.go.kr/,37.5440365,126.8476554,2023-08-29
"강서구 화곡1동주민센터 2층 다목적실",화곡1동주민센터,다목적실,일+공휴일,09:00,21:00,09:00,13:00,Y,2,20000,0.5,5000,40,121,강의용테이블+의자,유선 + 방문,,서울특별시 강서구 곰달래로 79,,서울특별시 강서구청,화곡1동주민센터,02-2600-7493,http://yeyak.seoul.go.kr/,37.5305085792,126.8415883,2023-08-29
