"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"중곡1동주민센터 자치회관 2층 회의실",중곡1동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,Y,2,10000,1,5000,25,64,,전화+방문,,서울특별시 광진구 긴고랑로12길 49,서울특별시 광진구 중곡동 259-10,서울특별시 광진구청,중곡제1동,02-450-1022,http://yeyak.seoul.go.kr,37.56066762,127.0800521,2023-07-28
"중곡1동주민센터 자치회관 3층 대강당",중곡1동주민센터,강당,토+일,09:00,18:00,00:00,00:00,Y,2,15000,1,7500,80,128,,전화+방문,,서울특별시 광진구 긴고랑로12길 49,서울특별시 광진구 중곡동 259-10,서울특별시 광진구청,중곡제1동,02-450-1022,http://yeyak.seoul.go.kr,37.56066762,127.0800521,2023-07-28
"중곡1동주민센터 자치회관 3층 강의실",중곡1동주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,2,5000,1,2500,25,37,,전화+방문,,서울특별시 광진구 긴고랑로12길 49,서울특별시 광진구 중곡동 259-10,서울특별시 광진구청,중곡제1동,02-450-1022,http://yeyak.seoul.go.kr,37.56066762,127.0800521,2023-07-28
"중곡2동주민센터 자치회관 2층 회의실",중곡2동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,Y,1,7500,1,2500,15,44,,전화+방문,,서울특별시 광진구 능동로 346,서울특별시 광진구 중곡동 47-33,서울특별시 광진구청,중곡제2동,02-450-1032,http://yeyak.seoul.go.kr,37.56015047,127.0814751,2023-07-28
"중곡2동주민센터 자치회관 2층 강의실",중곡2동주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,1,7500,1,2500,10,44,,전화+방문,,서울특별시 광진구 능동로 346,서울특별시 광진구 중곡동 47-33,서울특별시 광진구청,중곡제2동,02-450-1032,http://yeyak.seoul.go.kr,37.5601504693,127.0814751062,2023-07-28
"중곡2동주민센터 자치회관 3층 대강당",중곡2동주민센터,강당,토+일,09:00,18:00,00:00,00:00,Y,1,22500,1,7500,30,112,,전화+방문,,서울특별시 광진구 능동로 346,서울특별시 광진구 중곡동 47-33,서울특별시 광진구청,중곡제2동,02-450-1032,http://yeyak.seoul.go.kr,37.56015047,127.0814751,2023-07-28
"중곡3동주민센터 자치회관 3층 대강당",중곡3동주민센터,강당,토+일,10:00,20:00,00:00,00:00,Y,2,30000,1,10000,80,173,,전화+방문,,서울특별시 광진구 동일로76가길 28,서울특별시 광진구 중곡동 684,서울특별시 광진구청,중곡제3동,02-450-5125,http://yeyak.seoul.go.kr,37.56880689,127.0801381,2023-07-28
"중곡3동주민센터 자치회관 3층 지하 다목적실",중곡3동주민센터,다목적실,토+일,09:00,20:00,00:00,00:00,Y,2,7500,1,5000,30,79,,전화+방문,,서울특별시 광진구 동일로76가길 28,서울특별시 광진구 중곡동 684,서울특별시 광진구청,중곡제3동,02-450-5125,http://yeyak.seoul.go.kr,37.56880689,127.0801381,2023-07-28
"중곡4동주민센터 자치회관 문화대공연장",중곡4동주민센터,강당,토+일,12:00,18:00,00:00,00:00,Y,2,30000,1,10000,150,186,,전화+방문,,서울특별시 광진구 긴고랑로 131,서울특별시 광진구 중곡동 62-24,서울특별시 광진구청,중곡제4동,02-450-5135,http://yeyak.seoul.go.kr,37.55909865,127.0894329,2023-07-28
"중곡4동주민센터 자치회관 교양강좌실",중곡4동주민센터,강의실,월+수+금+토+일,09:00,18:00,00:00,00:00,Y,2,15000,1,5000,30,66,,전화+방문,,서울특별시 광진구 긴고랑로 131,서울특별시 광진구 중곡동 62-24,서울특별시 광진구청,중곡제4동,02-450-5135,http://yeyak.seoul.go.kr,37.55909865,127.0894329,2023-07-28
