"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"상계2동주민센터 청소년다목적실(지하)",상계2동주민센터,다목적실,월+화+수+목+일,18:00,21:00,09:00,18:00,N,,,,,20,91.35,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 상계로118,,서울특별시 노원구청,상계2동주민센터,02-2116-2773,http://yeyak.seoul.go.kr/,37.657415,127.067876,2023-07-26
"상계2동주민센터 다목적방2(5층)",상계2동주민센터,다목적실,월+화+수+목+일,18:00,21:00,09:00,18:00,N,,,,,20,72.16,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 상계로118,,서울특별시 노원구청,상계2동주민센터,02-2116-2773,http://yeyak.seoul.go.kr/,37.657415,127.067876,2023-07-26
"상계3.4동주민센터 다목적실(지하1층)",상계3.4동주민센터,다목적실,일,09:00,21:00,09:00,18:00,N,,,,,20,210.84,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 덕릉로 859,,서울특별시 노원구청,상계3.4동주민센터,02-2116-2799,http://yeyak.seoul.go.kr/,37.67291123,127.083232,2023-07-26
"중계1동주민센터 다목적실(2층)",중계1동주민센터,다목적실,일,16:00,21:00,12:00,18:00,N,,,,,60,68.8,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 한글비석로 279,,서울특별시 노원구청,중계1동주민센터,02-2116-2643,http://yeyak.seoul.go.kr/,37.652507,127.077457,2023-07-26
"상계3.4동주민센터 주민사랑방(2층)",상계3.4동주민센터,다목적실,일,09:00,21:00,09:00,18:00,N,,,,,20,71.4,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 덕릉로 859,,서울특별시 노원구청,상계3.4동주민센터,02-2116-2799,http://yeyak.seoul.go.kr/,37.67291123,127.083232,2023-07-26
"상계3.4동주민센터 다목적실(2층)",상계3.4동주민센터,다목적실,일,09:00,21:00,09:00,18:00,N,,,,,20,71.4,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 덕릉로 859,,서울특별시 노원구청,상계3.4동주민센터,02-2116-2799,http://yeyak.seoul.go.kr/,37.67291123,127.083232,2023-07-26
"상계3.4동주민센터 수락홀문화공연장(5층)",상계3.4동주민센터,강당,일,09:00,21:00,09:00,18:00,Y,3,70000,3,70000,250,364.93,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 덕릉로 859,,서울특별시 노원구청,상계3.4동주민센터,02-2116-2799,http://yeyak.seoul.go.kr/,37.67291123,127.083232,2023-07-26
"상계6.7동주민센터 다목적실(2층)",상계6.7동주민센터,다목적실,일,09:00,20:30,09:00,18:00,N,,,,,30,69,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 노원로 429,,서울특별시 노원구청,상계6.7동주민센터,02-2116-2854,http://yeyak.seoul.go.kr/,37.65488369,127.066936,2023-07-26
"상계6.7동주민센터 생활체육실(3층)",상계6.7동주민센터,강당,일,09:00,20:30,09:00,18:00,N,,,,,15,56,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 노원로 429,,서울특별시 노원구청,상계6.7동주민센터,02-2116-2854,http://yeyak.seoul.go.kr/,37.65488369,127.066936,2023-07-26
"상계8동주민센터 다용도방(2층)",상계8동주민센터,다목적실,일,12:00,22:00,14:00,18:00,N,,,,,20,76.1,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 동일로227길 97,,서울특별시 노원구청,상계8동주민센터,02-2116-2884,http://yeyak.seoul.go.kr/,37.66673618,127.051563,2023-07-26
"상계8동주민센터 다목적방(3층)",상계8동주민센터,다목적실,일,17:00,22:00,16:00,18:00,N,,,,,20,60,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 동일로227길 97,,서울특별시 노원구청,상계8동주민센터,02-2116-2884,http://yeyak.seoul.go.kr/,37.66673618,127.051563,2023-07-26
"상계9동주민센터 다목적방(3층)",상계9동주민센터,다목적실,월+화+수+일,18:00,21:00,12:00,18:00,N,,,,,20,95,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 한글비석로 487,,서울특별시 노원구청,상계9동주민센터,02-2116-2913,http://yeyak.seoul.go.kr/,37.66452079,127.063803,2023-07-26
"상계9동주민센터 지하탁구장(지하1층)",상계9동주민센터,기타,월+일,17:00,21:00,09:00,12:00,N,,,,,20,75.24,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 한글비석로 487,,서울특별시 노원구청,상계9동주민센터,02-2116-2913,http://yeyak.seoul.go.kr/,37.66452079,127.063803,2023-07-26
"상계9동주민센터 다용도방(2층)",상계9동주민센터,다목적실,목+일,18:00,21:00,09:00,18:00,N,,,,,25,67,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 한글비석로 487,,서울특별시 노원구청,상계9동주민센터,02-2116-2913,http://yeyak.seoul.go.kr/,37.66452079,127.063803,2023-07-26
"상계10동주민센터 온수골행복발전소 동네실(지하)",상계10동 온수골행복발전소,다목적실,일,09:00,21:00,09:00,18:00,N,,,,,40,78.8,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 노원로 530,,서울특별시 노원구청,상계10동주민센터,02-2116-2943,http://yeyak.seoul.go.kr/,37.661247,127.060242,2023-07-26
"상계10동주민센터 온수골행복발전소 배움터(지하)",상계10동 온수골행복발전소,강의실,일,09:00,21:00,09:00,18:00,N,,,,,25,46.2,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 노원로 530,,서울특별시 노원구청,상계10동주민센터,02-2116-2943,http://yeyak.seoul.go.kr/,37.661247,127.060242,2023-07-26
"노원구청사(신관) 소강당(6층)",노원구청사(신관),강당,연중무휴,09:00,22:00,10:00,19:00,Y,3,100000,3,100000,184,208,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 노해로 437 노원구청 6층,,서울특별시 노원구청,행정지원과,02-2116-3080,http://yeyak.seoul.go.kr/,37.654078,127.056605,2023-07-26
"노원구청사 대강당",노원구청사,강당,연중무휴,09:00,22:00,10:00,19:00,Y,3,180000,3,180000,300,600,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 노해로 437 노원구청 2층,,서울특별시 노원구청,행정지원과,02-2116-3080,http://yeyak.seoul.go.kr/,37.654078,127.056605,2023-07-26
"노원구민의전당 대강당(1층)",노원구민의전당,강당,일,09:00,21:00,09:00,18:00,Y,1,88000,1,88000,748,745.2,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 동일로 1229,,서울특별시 노원구청,노원구서비스공단,02-2289-6841,http://yeyak.seoul.go.kr/,37.6389605,127.0663451,2023-07-26
"노원구민의전당 레크레이션실(1층)",노원구민의전당,다목적실,월+화+수+목+금+일,00:00,00:00,09:00,18:00,Y,1,22000,1,22000,100,205.8,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 동일로 1229,,서울특별시 노원구청,노원구서비스공단,02-2289-6841,http://yeyak.seoul.go.kr/,37.6389605,127.0663451,2023-07-26
"노원구민의전당 지하강의실(지하1층)",노원구민의전당,강의실,일,09:00,21:00,09:00,18:00,Y,1,11000,1,11000,60,89.28,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 동일로 1229,,서울특별시 노원구청,노원구서비스공단,02-2289-6841,http://yeyak.seoul.go.kr/,37.6389605,127.0663451,2023-07-26
"월계1동주민센터 다용도방(3층)",월계1동주민센터,다목적실,일,09:00,21:00,10:00,17:00,N,,,,,20,56.4,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 석계로 59,,서울특별시 노원구청,월계1동주민센터,02-2116-2403,http://yeyak.seoul.go.kr/,37.619953,127.062863,2023-07-26
"월계1동주민센터 다목적실(3층)",월계1동주민센터,다목적실,일,09:00,21:00,10:00,17:00,N,,,,,60,171,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 석계로 59,,서울특별시 노원구청,월계1동주민센터,02-2116-2403,http://yeyak.seoul.go.kr/,37.619953,127.062863,2023-07-26
"월계1동주민센터 강의실(2층)",월계1동주민센터,다목적실,일,09:00,21:00,10:00,17:00,N,,,,,25,118,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 석계로 59,,서울특별시 노원구청,월계1동주민센터,02-2116-2403,http://yeyak.seoul.go.kr/,37.619953,127.062863,2023-07-26
"월계2동주민센터 다용도방(3층)",월계2동주민센터,강의실,일,09:00,21:00,09:00,18:00,N,,,,,40,82,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 초안산로5길 28,,서울특별시 노원구청,월계2동주민센터,02-2116-2435,http://yeyak.seoul.go.kr/,37.63250969,127.050764,2023-07-26
"월계2동주민센터 다목적방(3층)",월계2동주민센터,다목적실,일,09:00,21:00,09:00,18:00,N,,,,,60,229,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 초안산로5길 28,,서울특별시 노원구청,월계2동주민센터,02-2116-2435,http://yeyak.seoul.go.kr/,37.63250969,127.050764,2023-07-26
"월계3동주민센터 다용도방(2층)",월계3동주민센터,다목적실,일,09:00,21:00,10:00,17:00,N,,,,,20,42,,공공서비스예약시스템,공공서비스예약시스템에 등록,서울특별시 노원구 석계로 59,,서울특별시 노원구청,월계3동주민센터,02-2116-2463,http://yeyak.seoul.go.kr/,37.61999186,127.0628833,2023-07-26
