"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"서대문구 홍은1동 주민센터 3층 강좌실",홍은1동 주민센터,강의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,20,55,칠판+책상+의자,인터넷,,서울특별시 서대문구 홍은중앙로 85,서울특별시 서대문구 홍은동 11-853,서울특별시 서대문구 홍은1동 주민센터,홍은1동 주민센터,02-330-8483,http://www.sdm.go.kr/dong/he1/index.do,37.598849,126.9471453,2023-07-14
"서대문구 홍은2동 주민센터 취미교실",홍은2동 주민센터,강의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,20,50.2,칠판+책상+의자,인터넷,,서울특별시 서대문구 모래내로 334,서울특별시 서대문구 홍은동 273-10,서울특별시 서대문구 홍은2동 주민센터,홍은2동 주민센터,02-330-8501,http://www.sdm.go.kr/dong/he2/index.do,37.58010825,126.934135,2023-07-14
"서대문구 남가좌1동 주민자치 지하2층 커뮤니티실1",남가좌1동 주민센터,회의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,50,210,빔프로젝터+ 마이크,인터넷,,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,서울특별시 서대문구 남가좌1동 주민센터,남가좌1동 주민센터,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,37.57327487,126.9197797,2023-07-14
"서대문구 남가좌1동 주민센터 지하2층 커뮤니티실2",남가좌1동 주민센터,회의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,20,45,칠판+책상+의자,인터넷,,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,서울특별시 서대문구 남가좌1동 주민센터,남가좌1동 주민센터,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,37.57327487,126.9197797,2023-07-14
"서대문구 남가좌1동 주민센터 지하2층 커뮤니티실3",남가좌1동 주민센터,회의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,10,32,칠판+책상+의자,인터넷,,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,서울특별시 서대문구 남가좌1동 주민센터,남가좌1동 주민센터,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,37.57327487,126.9197797,2023-07-14
"서대문구 남가좌1동 주민센터 3층 대강당",남가좌1동 주민센터,강당,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,50,237,빔프로젝터+ 마이크,인터넷,,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,서울특별시 서대문구 남가좌1동 주민센터,남가좌1동 주민센터,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,37.57327487,126.9197797,2023-07-14
"서대문구 북가좌1동 주민센터 2층 문화교실 1",북가좌1동 주민센터,강의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,10,45,칠판+책상+의자,인터넷,,서울특별시 서대문구 수색로 100-55,서울특별시 서대문구 북가좌동 477,서울특별시 서대문구 북가좌1동 주민센터,북가좌1동 주민센터,02-330-8571,http://www.sdm.go.kr/dong/bgj1/index.do,37.57436849,126.9101369,2023-07-14
"서대문구 북가좌1동 주민센터 2층 문화교실 2",북가좌1동 주민센터,강의실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,10,45,칠판+책상+의자,인터넷,,서울특별시 서대문구 수색로 100-55,서울특별시 서대문구 북가좌동 477,서울특별시 서대문구 북가좌1동 주민센터,북가좌1동 주민센터,02-330-8571,http://www.sdm.go.kr/dong/bgj1/index.do,37.57436849,126.9101369,2023-07-14
"서대문구 북가좌2동 주민센터 2층 다목적실",북가좌2동 주민센터,다목적실,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,10,83,칠판+마이크,인터넷,,서울특별시 서대문구 응암로1길 10,서울특별시 서대문구 북가좌동 324-13,서울특별시 서대문구 북가좌2동 주민센터,북가좌2동 주민센터,02-330-8078,http://www.sdm.go.kr/dong/bgj2/index.do,37.581457,126.911165,2023-07-14
"서대문구 서대문체육회관 대체육관",서대문구체육회관,기타,토요일+일요일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,100,744.4,실내운동장,인터넷,,서울특별시 서대문구 백련사길 39,서울특별시 서대문구 홍은동 산26-155,서울특별시 서대문구 도시관리공단,서대문구 도시관리공단,02-360-8683,http://www.sscmc.or.kr/,37.58075973,126.9315574,2023-07-14
