"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"길음1동자치회관 4층 강당",길음1동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,100,231,,,,서울특별시 성북구 길음로 92,서울특별시 성북구 길음동 1281-7,서울특별시 성북구청,길음1동주민센터,02-2241-5446,www.sb.go.kr,37.61048654,127.0194561,2023-08-16
"길음1동자치회관 3층 2강의실",길음1동자치회관,회의실,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,30,35,,,,서울특별시 성북구 길음로 92,서울특별시 성북구 길음동 1281-7,서울특별시 성북구청,길음1동주민센터,02-2241-5446,www.sb.go.kr,37.61048654,127.0194561,2023-08-16
"길음2동자치회관 2층 대강당",길음2동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,50,112,,,,서울특별시 성북구 삼양로2길 70,서울특별시 성북구 길음동 1064-3,서울특별시 성북구청,길음2동주민센터,02-2241-5485,www.sb.go.kr,37.60680733,127.0272794,2023-08-16
"돈암1동자치회관 회의실",돈암1동자치회관,회의실,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,5,,,,,"서울특별시 성북구 정릉로48길 35, 3층",서울특별시 성북구 돈암동 7-15,서울특별시 성북구청,돈암1동주민센터,02-2241-5144,www.sb.go.kr,37.60257969,127.0277374,2023-08-16
"돈암2동자치회관 2층 다목적실",돈암2동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,Y,2,30000,,,25,80,,,,서울특별시 성북구 흥천사길 7,서울특별시 성북구 돈암동 603-1,서울특별시 성북구청,돈암2동주민센터,02-2241-5164,www.sb.go.kr,37.59801698,127.010539,2023-08-16
"돈암2동자치회관 회의실",돈암2동자치회관,회의실,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,Y,2,30000,,,80,25,,,,서울특별시 성북구 흥천사길 7,서울특별시 성북구 돈암동 603-1,서울특별시 성북구청,돈암2동주민센터,02-2241-5164,www.sb.go.kr,37.59801698,127.010539,2023-08-16
"동선동자치회관 지하 다목적실",동선동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,20,96,,,,서울특별시 성북구 동소문로26길 27,서울특별시 성북구 동선동3가 130-7,서울특별시 성북구청,동선동주민센터,02-2241-5084,www.sb.go.kr,37.59398014,127.0204087,2023-08-16
"동선동자치회관 2층 회의실",동선동자치회관,회의실,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,15,70,,,,서울특별시 성북구 동소문로26길 27,서울특별시 성북구 동선동3가 130-7,서울특별시 성북구청,동선동주민센터,02-2241-5084,www.sb.go.kr,37.59398014,127.0204087,2023-08-16
"동선동자치회관 3층 대강당",동선동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,50,111,,,,서울특별시 성북구 동소문로26길 27,서울특별시 성북구 동선동3가 130-7,서울특별시 성북구청,동선동주민센터,02-2241-5084,www.sb.go.kr,37.59398014,127.0204087,2023-08-16
"보문동자치회관 4층 강당",보문동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),08:00,20:30,00:00,00:00,N,,,,,100,233,자치회관 프로그램 미운영시간에 개방,,,서울특별시 성북구 안암로3길 35,서울특별시 성북구 보문동7가 108-1,서울특별시 성북구청,보문동주민센터,02-2241-5243,www.sb.go.kr,37.58037354,127.0228035,2023-08-16
"보문동자치회관 3층 강의실",보문동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,30,60,,,,서울특별시 성북구 안암로3길 35,서울특별시 성북구 보문동7가 108-1,서울특별시 성북구청,보문동주민센터,02-2241-5243,www.sb.go.kr,37.58037354,127.0228035,2023-08-16
"삼선동자치회관 2층 회의실",삼선동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),13:00,14:30,00:00,00:00,N,,,,,30,180,금요일 개방,,,서울특별시 성북구 보문로 190,서울특별시 성북구 삼선동4가 349-1,서울특별시 성북구청,삼선동주민센터,02-2241-5045,www.sb.go.kr,37.59084573,127.0146418,2023-08-16
"삼선동자치회관 3층 다목적실",삼선동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),16:30,18:00,00:00,00:00,N,,,,,30,110,"월,수,목,금 개방",,,서울특별시 성북구 보문로 190,서울특별시 성북구 삼선동4가 349-1,서울특별시 성북구청,삼선동주민센터,02-2241-5045,www.sb.go.kr,37.59084573,127.0146418,2023-08-16
"석관동자치회관 4층 대강당",석관동자치회관,강당,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,100,140,,,,서울특별시 성북구 화랑로 296,서울특별시 성북구 석관동 384-3,서울특별시 성북구청,석관동주민센터,02-2241-5766,www.sb.go.kr,37.61297096,127.0614241,2023-08-16
"석관동자치회관 2층 다목적회의실",석관동자치회관,회의실,토+일 (실제 개방시간은 프로그램 운영 등에 따라 다를 수 있음),09:00,18:00,00:00,00:00,N,,,,,30,125,,,,서울특별시 성북구 화랑로 296,서울특별시 성북구 석관동 384-3,서울특별시 성북구청,석관동주민센터,02-2241-5766,www.sb.go.kr,37.61297096,127.0614241,2023-08-16
