"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"영등포구 신길7동주민센터 소회의실",신길7동주민센터,회의실,화+수+토+일,09:00,18:00,00:00,00:00,Y,2,15000,1,5000,20,67.8,책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414144048617415,서울특별시 영등포구 여의대방로43길10,서울특별시 영등포구 신길동 897-3,서울특별시 영등포구청,신길7동주민센터,02-2670-1356,http://yeyak.seoul.go.kr,37.506369,126.9215141,2023-08-25
"영등포구 신길7동주민센터 대회의실",신길7동주민센터,회의실,토+일,09:00,13:00,00:00,00:00,Y,2,15000,1,5000,50,177.9,빔프로젝터+책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414144443890364,서울특별시 영등포구 여의대방로43길10,서울특별시 영등포구 신길동 897-3,서울특별시 영등포구청,신길7동주민센터,02-2670-1356,http://yeyak.seoul.go.kr,37.506369,126.9215141,2023-08-25
"영등포구 신길7동주민센터 다목적실",신길7동주민센터,다목적실,수+토+일,13:00,21:00,00:00,00:00,Y,2,15000,1,5000,15,51.2,화이트보드+책상+의자,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210414105100942960,서울특별시 영등포구 여의대방로43길10,서울특별시 영등포구 신길동 897-3,서울특별시 영등포구청,신길7동주민센터,02-2670-1356,http://yeyak.seoul.go.kr,37.506369,126.9215141,2023-08-25
"영등포구 신길5동주민센터 지하 강의실",신길5동주민센터,회의실,토+일,09:00,21:00,00:00,00:00,Y,2,15000,1,5000,22,40,칠판+마이크시설+탁자 10개+의자 30개+빔프로젝터,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210415080021494944,서울특별시 영등포구 도림로 264,,서울특별시 영등포구청,신길5동주민센터,02-2670-1306,http://yeyak.seoul.go.kr,37.5016416,126.905219,2023-08-25
"영등포구 신길5동주민센터 다목적회의실",신길5동주민센터,회의실,토+일,09:00,21:00,00:00,00:00,Y,2,15000,1,5000,40,88,칠판+마이크시설+탁자 10개+의자 30개,인터넷+방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S210415082252757777,서울특별시 영등포구 도림로 264,,서울특별시 영등포구청,신길5동주민센터,02-2670-1306,http://yeyak.seoul.go.kr,37.5016416,126.905219,2023-08-25
"영등포구 신길4동주민센터 다목적강당",신길4동주민센터,강당,토+일,09:00,18:00,00:00,00:00,Y,2,15000,1,5000,30,119.38,빔프로젝트+이동형책상+접이식 의자+마이크시설(유선),방문+전화,,서울특별시 영등포구 신길로42길 1,,서울특별시 영등포구청,신길4동주민센터,02-2670-1297,http://yeyak.seoul.go.kr,37.508472,126.911276,2023-08-25
"영등포구 신길3동주민센터 2층 회의실",신길3동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,Y,2,15000,1,5000,20,50,빔프로젝트+책상+의자,인터넷+방문+전화,,서울특별시 영등포구 신길로41라길 13-8,,서울특별시 영등포구청,신길3동주민센터,02-2670-1266,http://yeyak.seoul.go.kr,37.507269,126.907744,2023-08-25
"영등포구 신길3동주민센터 지하 다목적회의실",신길3동주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,2,15000,1,5000,30,80,빔프로젝트+이동형책상+유선MIC,인터넷+방문+전화,,서울특별시 영등포구 신길로41라길 13-8,,서울특별시 영등포구청,신길3동주민센터,02-2670-1266,http://yeyak.seoul.go.kr,37.507269,126.907744,2023-08-25
"영등포구 신길1동주민센터 다목적회의실",신길1동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,Y,2,15000,1,5000,30,101,빔 프로젝트+강의용 책상 20+의자 40+무선MIC+화이트 보드,방문+전화,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S1904,서울특별시 영등포구 영등포로84길 24-5,,서울특별시 영등포구청,신길1동주민센터,02-2670-1245,http://yeyak.seoul.go.kr,37.511118,126.921433,2023-08-25
"영등포구 양평2동주민센터 주민사랑방",양평2동주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,2,15000,1,5000,50,78,테이블 15+의자 30,방문,,서울특별시 영등포구 선유로47길 30,서울특별시 영등포구 양평동4가 96,서울특별시 영등포구청,양평2동주민센터,02-3457-7433,http://yeyak.seoul.go.kr,37.536501,126.894038,2023-08-25
