"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
2층 문화교실,후암동주민센터,다목적실,화+토+일+공휴일,09:00,21:00,00:00,00:00,Y,1,15000,1,7500,24,96,,인터넷+전화+방문,,서울특별시 용산구 후암로 32-6,,후암동주민센터,행정민원팀,,,37.54869785,126.9781505,2023-07-14
3층 대강당,후암동주민센터,강당,토+일+공휴일,18:00,21:00,00:00,00:00,Y,1,30000,1,15000,60,219,,인터넷+전화+방문,,서울특별시 용산구 후암로 32-6,,후암동주민센터,행정민원팀,,,37.54869785,126.9781505,2023-07-14
3층 대강당,용산2가동주민센터,강당,토+일+공휴일,09:00,18:00,00:00,00:00,Y,1,30000,1,15000,70,204,,인터넷+전화+방문,,서울특별시 용산구 신흥로 90,,용산2가동주민센터,행정민원팀,,,37.54607528,126.9855699,2023-07-14
2층강당,청파동주민센터,강당,토+일+공휴일,09:00,18:00,00:00,00:00,Y,1,30000,1,15000,250,216,,인터넷+전화+방문,,서울특별시 용산구 청파로49길 6,,청파동주민센터,행정민원팀,,,37.54547766,126.9698727,2023-07-14
3층다목적실,청파동주민센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,1,30000,1,15000,250,216,,인터넷+전화+방문,,서울특별시 용산구 청파로49길 6,,청파동주민센터,행정민원팀,,,37.54547766,126.9698727,2023-07-14
4층문화교실,청파동주민센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,1,15000,1,7500,25,80,,인터넷+전화+방문,,서울특별시 용산구 청파로49길 6,,청파동주민센터,행정민원팀,,,37.54547766,126.9698727,2023-07-14
"별관 6층 대강당",원효로1동주민센터,강당,토+일+공휴일,09:00,18:00,00:00,00:00,Y,1,30000,1,15000,80,306,,인터넷+전화+방문,,서울특별시 용산구 백범로 329,,원효로1동주민센터,행정민원팀,,,37.53724193,126.9676267,2023-07-14
2층 회의실,원효로2동주민센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,1,15000,1,7500,15,60,,인터넷+전화+방문,,서울특별시 용산구 효창원로8길 3,,원효로2동주민센터,행정민원팀,,,37.53435322,126.9515483,2023-07-14
3층 대강당,원효로2동주민센터,강당,토+일+공휴일,09:00,18:00,00:00,00:00,Y,1,20000,1,10000,50,140,,인터넷+전화+방문,,서울특별시 용산구 효창원로8길 3,,원효로2동주민센터,행정민원팀,,,37.53435322,126.9515483,2023-07-14
3층 컴퓨터교실,효창동주민센터,기타,토+일+공휴일,13:00,18:00,00:00,00:00,Y,1,15000,1,7500,20,60,,인터넷+전화+방문,,서울특별시 용산구 효창원로 161,,효창동주민센터,행정민원팀,,,37.54250925,126.9618379,2023-07-14
4층다목적실,효창동주민센터,다목적실,화+목+토+일+공휴일,09:00,18:00,00:00,00:00,Y,1,20000,1,10000,50,129,,인터넷+전화+방문,,서울특별시 용산구 효창원로 161,,효창동주민센터,행정민원팀,,,37.54250925,126.9618379,2023-07-14
