"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"소공동 주민센터 강의실(3층)",소공동 주민센터,강의실,일+공휴일,09:00,20:00,09:00,13:00,Y,,,,,15,126.25,책상+의자+화이트보드+CD카세트+냉난방기+스마트TV,전화+방문,,서울특별시 중구 남대문로1길 31-5,,서울특별시 중구청,소공동주민센터,02-3396-6507,http://www.junggu.seoul.kr/dong/sogong/main.do,37.5624216,126.9770418,2023-09-25
"소공동 주민센터 강당(4층)",소공동 주민센터,강당,일+공휴일,09:00,20:00,09:00,13:00,Y,,,,,30,135.54,책상+의자+화이트보드+음향기기+냉난방기+빔프로젝터+앰프+무선마이크+대형거울,전화+방문,,서울특별시 중구 남대문로1길 31-5,,서울특별시 중구청,소공동주민센터,02-3396-6507,http://www.junggu.seoul.kr/dong/sogong/main.do,37.5624216,126.9770418,2023-09-25
"회현동 주민센터 음악창작소(2층)",회현동 주민센터,기타,일+공휴일,09:00,20:00,10:00,18:00,Y,,,,,5,40,피아노+드럼+기타,전화+방문,,서울특별시 중구 퇴계로8길 46,,서울특별시 중구청,회현동주민센터,02-3396-6534,http://www.junggu.seoul.kr/dong/hoehyeon/main.do,37.557286,126.979356,2023-09-25
"명동 주민센터 강당(3층)",명동 주민센터,강당,일+공휴일,10:00,21:00,10:00,18:00,Y,,,,,30,203,책상+의자+TV+빔프로젝터+유무선마이크+냉난방설비+CD플레이어,전화+방문,,서울특별시 중구 퇴계로20길 3,,서울특별시 중구청,명동주민센터,02-3396-8483,http://www.junggu.seoul.kr/dong/myeong/main.do,37.560047,126.985816,2023-09-25
"필동 주민센터 강당(2층)",필동 주민센터,강당,일+공휴일,09:00,20:00,10:00,17:00,Y,,,,,50,92.4,방송장비+유선마이크+의자+냉난방설비,전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구청,필동주민센터,02-3396-6595,http://www.junggu.seoul.kr/dong/pil/main.do,37.560156,126.995599,2023-09-25
"필동 주민센터 필인갤러리(2층)",필동 주민센터,기타,일+공휴일,09:00,20:00,10:00,17:00,Y,,,,,10,38.1,책상+의자+TV,전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구청,필동주민센터,02-3396-6595,http://www.junggu.seoul.kr/dong/pil/main.do,37.560156,126.995599,2023-09-25
"필동 주민센터 복합스튜디오(2층)",필동 주민센터,기타,일+공휴일,09:00,20:00,10:00,17:00,Y,,,,,6,5,책상+의자,전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구청,필동주민센터,02-3396-6595,http://www.junggu.seoul.kr/dong/pil/main.do,37.560156,126.995599,2023-09-25
"필동 주민센터 필인유스센터(지하1층)",필동 주민센터,기타,일+공휴일,09:00,20:00,10:00,17:00,Y,,,,,60,115.5,요가매트+탁구대,전화+방문,,서울특별시 중구 퇴계로36길 42,,서울특별시 중구청,필동주민센터,02-3396-6595,http://www.junggu.seoul.kr/dong/pil/main.do,37.560156,126.995599,2023-09-25
"장충동 주민센터 강당(5층)",장충동 주민센터,강당,토+일+공휴일,10:00,12:30,00:00,00:00,Y,,,,,30,75,강의용테이블+음향시설+화이트보드+의자+냉난방설비,전화+방문,,서울특별시 중구 장충단로8길 22,,서울특별시 중구청,장충동주민센터,02-3396-8504,http://www.junggu.seoul.kr/dong/jangchung/main.do,37.5619082,127.0078413,2023-09-25
"광희동 주민센터 강의실(3층)",광희동 주민센터,강의실,일+공휴일,09:00,21:00,10:00,18:00,Y,,,,,20,54,책상+의자+화이트보드+냉난방설비,전화+방문,,서울특별시 중구 퇴계로 303-9,,서울특별시 중구청,광희동주민센터,02-3396-6654,http://www.junggu.seoul.kr/dong/gwanghui/main.do,37.564461,127.005039,2023-09-25
