"개방시설명",개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
"중화문화복지센터 강당",중화문화복지센터,기타,토+일,10:00,16:00,00:00,00:00,Y,2,10000원,1,5000,40,85,,인터넷,,서울특별시 중랑구 중랑역로3길 28,서울특별시 중랑구 중화동 321-37,서울특별시 중랑구 중화문화복지센터,,02-2094-6373,,37.5950196900,127.0748913000,2023-08-25
"중화1동주민센터 생활체육실",중화1동주민센터,다목적실,토+일,09:00,21:00,00:00,00:00,Y,2,10000원,1,5000,30,80,,인터넷,,서울특별시 중랑구 동일로134길 17,서울특별시 중랑구 중화동 287-3,서울특별시 중랑구 중화1동주민센터,,02-2094-6333,,37.6011320000,127.0806480000,2023-08-25
"중화1동주민센터 대회의실",중화1동주민센터,회의실,토+일,09:00,21:00,00:00,00:00,Y,2,10000원,1,5000,15,38,,인터넷,,서울특별시 중랑구 동일로134길 17,서울특별시 중랑구 중화동 287-3,서울특별시 중랑구 중화1동주민센터,,02-2094-6333,,37.6011320000,127.0806480000,2023-08-25
"신내2동주민센터 대회의실",신내2동주민센터,회의실,일,09:00,21:00,10:00,14:00,Y,2,10000원,1,5000,40,140,,인터넷,,서울특별시 중랑구 봉화산로 190,서울특별시 중랑구 신내동 665,서울특별시 중랑구 신내2동주민센터,,02-2094-6628,,37.6062280000,127.0941470000,2023-08-25
"신내2동주민센터 북카페 회의실",신내2동주민센터,회의실,일,10:00,18:00,10:00,14:00,Y,2,10000원,1,5000,15,35,,인터넷,,서울특별시 중랑구 봉화산로 190,서울특별시 중랑구 신내동 665,서울특별시 중랑구 신내2동주민센터,,02-2094-6628,,37.6062280000,127.0941470000,2023-08-25
"신내1동주민센터 강당",신내1동주민센터,강당,토+일,09:00,21:00,00:00,00:00,Y,3,10000원,1,5000,50,180,,인터넷,,서울특별시 중랑구 용마산로129나길 35,서울특별시 중랑구 신내동 448-1,서울특별시 중랑구 신내1동주민센터,,02-2094-6573,,37.6058540000,127.0995038000,2023-08-25
"신내1동주민센터 회의실",신내1동주민센터,회의실,토+일,09:00,21:00,00:00,00:00,Y,3,10000원,1,5000,20,65,,인터넷,,서울특별시 중랑구 용마산로129나길 35,서울특별시 중랑구 신내동 448-1,서울특별시 중랑구 신내1동주민센터,,02-2094-6573,,37.6058540000,127.0995038000,2023-08-25
"상봉2동주민센터 대강당",상봉2동주민센터,기타,토+일,09:00,20:00,00:00,00:00,Y,2,10000원,1,5000,50,107,,방문,,서울특별시 중랑구 동일로114길 10,서울특별시 중랑구 상봉동 126,서울특별시 중랑구 상봉2동주민센터,,02-2094-6294,,37.5928919500,127.0808518000,2023-08-25
"상봉2동주민센터 강의실",상봉2동주민센터,강의실,토+일,09:00,18:00,00:00,00:00,Y,2,10000원,1,5000,30,57,,방문,,서울특별시 중랑구 동일로114길 10,서울특별시 중랑구 상봉동 126,서울특별시 중랑구 상봉2동주민센터,,02-2094-6294,,37.5928919500,127.0808518000,2023-08-25
"상봉2동주민센터 다목적실",상봉2동주민센터,다목적실,토+일,09:00,18:00,00:00,00:00,Y,2,10000원,1,5000,30,81,,방문,,서울특별시 중랑구 동일로114길 10,서울특별시 중랑구 상봉동 126,서울특별시 중랑구 상봉2동주민센터,,02-2094-6294,,37.5928919500,127.0808518000,2023-08-25
